,Day,High,Low,Precip,Month,Year,Days,Date
0,01-Jan-15,33.1,22.1,0,1,2015,1,112015
1,02-Jan-15,41,31.1,0,1,2015,2,212015
2,03-Jan-15,37,22.1,0.62,1,2015,3,312015
3,04-Jan-15,52,35.1,0.57,1,2015,4,412015
4,05-Jan-15,50,17.2,0,1,2015,5,512015
5,06-Jan-15,18.1,15.3,0.02,1,2015,6,612015
7,08-Jan-15,19.2,-0.8,0,1,2015,8,812015
8,09-Jan-15,30.2,19.2,0.01,1,2015,9,912015
9,10-Jan-15,24.3,17.2,0,1,2015,10,1012015
10,11-Jan-15,33.1,15.3,0,1,2015,11,1112015
11,12-Jan-15,37.9,33.1,0.2,1,2015,12,1212015
12,13-Jan-15,35.1,15.3,0,1,2015,13,1312015
14,15-Jan-15,31.1,25.2,0.12,1,2015,15,1512015
15,16-Jan-15,37.9,15.3,0,1,2015,16,1612015
16,17-Jan-15,22.1,9.1,0,1,2015,17,1712015
17,18-Jan-15,51.1,20.1,0.15,1,2015,18,1812015
18,19-Jan-15,46,32,0,1,2015,19,1912015
19,20-Jan-15,39,27.1,0,1,2015,20,2012015
20,21-Jan-15,34,22.1,0,1,2015,21,2112015
22,23-Jan-15,37,24.3,0,1,2015,23,2312015
23,24-Jan-15,34,31.1,0.71,1,2015,24,2412015
24,25-Jan-15,37.9,19.2,0,1,2015,25,2512015
25,26-Jan-15,29.1,11.1,0.1,1,2015,26,2612015
26,27-Jan-15,19.2,14.2,0.95,1,2015,27,2712015
27,28-Jan-15,24.3,13.1,0.01,1,2015,28,2812015
29,30-Jan-15,34,19.2,0.06,1,2015,30,3012015
30,31-Jan-15,21.2,11.1,0.05,1,2015,31,3112015
31,01-Feb-15,30.2,12.2,0,2,2015,1,122015
32,02-Feb-15,31.1,10.2,0.78,2,2015,2,222015
33,03-Feb-15,22.1,6.3,0,2,2015,3,322015
34,04-Feb-15,37.9,14.2,0.01,2,2015,4,422015
35,05-Feb-15,36,7.2,0.09,2,2015,5,522015
37,07-Feb-15,29.1,16.2,0.07,2,2015,7,722015
38,08-Feb-15,29.1,13.1,0.37,2,2015,8,822015
39,09-Feb-15,25.2,14.2,0.88,2,2015,9,922015
40,10-Feb-15,30.2,14.2,0.05,2,2015,10,1022015
41,11-Feb-15,25.2,14.2,0.01,2,2015,11,1122015
42,12-Feb-15,30.2,16.2,0.03,2,2015,12,1222015
43,13-Feb-15,22.1,7.2,0,2,2015,13,1322015
44,14-Feb-15,30.2,3.2,0.23,2,2015,14,1422015
45,15-Feb-15,20.1,-1.8,0.39,2,2015,15,1522015
46,16-Feb-15,19.2,-2.7,0,2,2015,16,1622015
47,17-Feb-15,23.2,10.2,0.02,2,2015,17,1722015
48,18-Feb-15,29.1,17.2,0.01,2,2015,18,1822015
49,19-Feb-15,30.2,10.2,0.06,2,2015,19,1922015
50,20-Feb-15,20.1,5.2,0,2,2015,20,2022015
51,21-Feb-15,34,4.1,0.17,2,2015,21,2122015
52,22-Feb-15,39,28.2,0.11,2,2015,22,2222015
53,23-Feb-15,33.1,4.1,0,2,2015,23,2322015
55,25-Feb-15,35.1,14.2,0.07,2,2015,25,2522015
56,26-Feb-15,22.1,17.2,0.02,2,2015,26,2622015
57,27-Feb-15,27.1,15.3,0,2,2015,27,2722015
58,28-Feb-15,31.1,12.2,0,2,2015,28,2822015
59,01-Mar-15,30.2,12.2,0.17,3,2015,1,132015
60,02-Mar-15,37,26.2,0.01,3,2015,2,232015
61,03-Mar-15,33.1,20.1,0.26,3,2015,3,332015
62,04-Mar-15,43,33.1,0.02,3,2015,4,432015
64,06-Mar-15,24.3,9.1,0,3,2015,6,632015
65,07-Mar-15,37.9,17.2,0,3,2015,7,732015
67,09-Mar-15,48,26.2,0,3,2015,9,932015
68,10-Mar-15,48,31.1,0.06,3,2015,10,1032015
69,11-Mar-15,57,37,0.01,3,2015,11,1132015
70,12-Mar-15,43,25.2,0,3,2015,12,1232015
71,13-Mar-15,39.9,24.3,0,3,2015,13,1332015
72,14-Mar-15,39,31.1,0.8,3,2015,14,1432015
73,15-Mar-15,41,27.1,0.27,3,2015,15,1532015
74,16-Mar-15,45,26.2,0,3,2015,16,1632015
75,17-Mar-15,51.1,28.2,0.14,3,2015,17,1732015
76,18-Mar-15,30.2,22.1,0,3,2015,18,1832015
77,19-Mar-15,34,19.2,0,3,2015,19,1932015
78,20-Mar-15,32,23.2,0.05,3,2015,20,2032015
79,21-Mar-15,41,28.2,0.09,3,2015,21,2132015
80,22-Mar-15,39,21.2,0,3,2015,22,2232015
81,23-Mar-15,33.1,18.1,0,3,2015,23,2332015
82,24-Mar-15,35.1,20.1,0,3,2015,24,2432015
83,25-Mar-15,48.9,28.2,0.04,3,2015,25,2532015
84,26-Mar-15,55.9,37.9,0.8,3,2015,26,2632015
85,27-Mar-15,44.1,37,0.21,3,2015,27,2732015
86,28-Mar-15,39.9,30.2,0.12,3,2015,28,2832015
87,29-Mar-15,42.1,26.2,0,3,2015,29,2932015
89,31-Mar-15,50,37,0,3,2015,31,3132015
90,01-Apr-15,46.9,30.2,0,4,2015,1,142015
91,02-Apr-15,61,30.2,0,4,2015,2,242015
92,03-Apr-15,59,45,0.03,4,2015,3,342015
93,04-Apr-15,52,36,0.39,4,2015,4,442015
94,05-Apr-15,48.9,32,0,4,2015,5,542015
95,06-Apr-15,42.1,36,0,4,2015,6,642015
96,07-Apr-15,42.1,36,0.03,4,2015,7,742015
