id,distance,source,destination,price,name,distance,surge_multiplier,product_id,new_time,Days,Month,Year,Date
05a48a2a-2ad6-40aa-bba8-444ac9448af1,2.16,South Station,Back Bay,16.5,Lyft XL,2.16,1.0,lyft_plus,27-11-2018,27,11,2018,27112018
d4e8b98d-60ee-4996-b8c8-ba62cf7bb12b,2.25,Back Bay,Haymarket Square,10.5,Lyft,2.25,1.0,lyft,15-12-2018,15,12,2018,15122018
95a47302-974f-4a07-a995-1df52e03259d,1.56,Boston University,Back Bay,8.0,UberX,1.56,1.0,55c66225-fbe7-4fd5-9072-eab1ece5e23e,01-12-2018,01,12,2018,01122018
791aa70c-dfa3-43c8-b1e5-9dd321c34f27,0.74,West End,Haymarket Square,3.5,Shared,0.74,1.0,lyft_line,28-11-2018,28,11,2018,28112018
c19244cb-d786-4836-93d1-b8297c4aa0af,3.14,Theatre District,Fenway,26.0,Lux Black,3.14,1.0,lyft_lux,17-12-2018,17,12,2018,17122018
9b73eec4-256b-4625-a5a6-0bcdb852aa09,2.87,Fenway,West End,16.5,Lyft XL,2.87,1.0,lyft_plus,26-11-2018,26,11,2018,26112018
a842641b-63f8-4b0c-a411-09ded68a5118,2.52,Beacon Hill,Northeastern University,16.5,Lyft XL,2.52,1.0,lyft_plus,17-12-2018,17,12,2018,17122018
d8b3b10b-6c2e-450e-8ec4-cb1db1291883,3.04,Northeastern University,Financial District,10.5,Shared,3.04,1.0,lyft_line,16-12-2018,16,12,2018,16122018
6d1e263e-ed9c-4be8-91ab-4493e7255321,2.12,Beacon Hill,North End,16.5,Lux,2.12,1.0,lyft_premier,14-12-2018,14,12,2018,14122018
66c7905d-dc1d-432f-be34-d3ad957c4363,2.66,Theatre District,Fenway,17.5,UberXL,2.66,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,27-11-2018,27,11,2018,27112018
96fbeaf1-3ae2-4ecf-86ca-332e933caeac,2.8,West End,Boston University,8.0,UberPool,2.8,1.0,997acbb5-e102-41e1-b155-9df7de0a73f2,29-11-2018,29,11,2018,29112018
0368f40b-aabe-4d1a-8253-6b83308dd1b5,2.31,Beacon Hill,Boston University,19.5,Lux,2.31,1.0,lyft_premier,15-12-2018,15,12,2018,15122018
2062b34f-3a16-492d-9fe2-b31183a30c5f,0.91,Haymarket Square,Beacon Hill,17.0,Black,0.91,1.0,6c84fd89-3f11-4782-9b50-97c468b19529,27-11-2018,27,11,2018,27112018
7786d292-16cf-420f-ae75-e6a0fe95e736,2.37,Beacon Hill,Fenway,9.5,UberX,2.37,1.0,55c66225-fbe7-4fd5-9072-eab1ece5e23e,03-12-2018,03,12,2018,03122018
05951460-3432-44ee-9500-0cd2527088ca,1.12,South Station,Theatre District,13.5,Lyft XL,1.12,1.25,lyft_plus,16-12-2018,16,12,2018,16122018
1c0f747a-fac7-4e2f-8f55-42666b797a77,2.73,Boston University,Beacon Hill,13.5,Lyft XL,2.73,1.0,lyft_plus,28-11-2018,28,11,2018,28112018
8acd1ebe-f9c5-4e67-bd76-858cbda89f3b,2.8,West End,Boston University,18.0,UberXL,2.8,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,26-11-2018,26,11,2018,26112018
1a821a60-1d5a-4ce0-99db-a3271a146d08,3.19,Back Bay,North End,34.0,Black SUV,3.19,1.0,6d318bcc-22a3-4af6-bddd-b409bfce1546,26-11-2018,26,11,2018,26112018
dc2162bd-3b7c-4bf4-92aa-cd7308a251c0,4.4,Fenway,Financial District,23.5,UberXL,4.4,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,26-11-2018,26,11,2018,26112018
f51854b3-d792-4cb9-a238-dd9eedd3d5f4,1.26,Northeastern University,Back Bay,9.0,Lyft,1.26,1.25,lyft,17-12-2018,17,12,2018,17122018
7fd453bc-2187-461c-9136-9800091508f6,1.17,North End,Financial District,10.5,Lyft XL,1.17,1.0,lyft_plus,28-11-2018,28,11,2018,28112018
2a78868b-ceae-47fb-b823-461a3acc524f,2.5,Beacon Hill,Northeastern University,32.5,Lux Black XL,2.5,1.0,lyft_luxsuv,26-11-2018,26,11,2018,26112018
df3fedfa-ea49-4fe0-a54a-1cd2c89b7439,1.23,North End,West End,27.5,Lux Black XL,1.23,1.0,lyft_luxsuv,18-12-2018,18,12,2018,18122018
52fde2fa-67ec-4485-92b2-0d7db1d29f94,4.72,Boston University,Financial District,14.0,UberX,4.72,1.0,55c66225-fbe7-4fd5-9072-eab1ece5e23e,02-12-2018,02,12,2018,02122018
5f8762cd-07fb-44c7-b161-f9863ef17341,3.23,Northeastern University,North Station,11.5,WAV,3.23,1.0,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,28-11-2018,28,11,2018,28112018
6beb8a78-537e-4169-b042-e20d057b7da8,2.17,North Station,South Station,8.5,UberX,2.17,1.0,55c66225-fbe7-4fd5-9072-eab1ece5e23e,18-12-2018,18,12,2018,18122018
a7a1a3af-22e1-4acf-84c6-7bd6d29ed587,3.41,Financial District,Northeastern University,7.0,Shared,3.41,1.0,lyft_line,29-11-2018,29,11,2018,29112018
2a1a9005-a8b8-472c-9b3b-6336618e49ae,0.77,West End,Haymarket Square,7.0,Lyft,0.77,1.0,lyft,28-11-2018,28,11,2018,28112018
43fa100b-ab10-43dc-b98c-a509c4d35ee5,0.72,West End,Haymarket Square,6.5,UberPool,0.72,1.0,997acbb5-e102-41e1-b155-9df7de0a73f2,13-12-2018,13,12,2018,13122018
09ccf1d3-504f-4a28-b69d-bd1396a6e35e,1.5,Boston University,Back Bay,27.5,Lux Black XL,1.5,1.0,lyft_luxsuv,02-12-2018,02,12,2018,02122018
99165911-204b-4879-bf28-a9fd7c16e09e,2.43,Beacon Hill,Northeastern University,10.5,Lyft,2.43,1.0,lyft,01-12-2018,01,12,2018,01122018
b948830c-f646-44c7-9d52-ced595b59105,3.25,Fenway,North Station,38.0,Lux Black XL,3.25,1.0,lyft_luxsuv,02-12-2018,02,12,2018,02122018
2ff445f6-0ecc-4fcc-ad79-67362125a2f6,1.51,Beacon Hill,North End,7.0,Lyft,1.51,1.0,lyft,30-11-2018,30,11,2018,30112018
13f67a42-e616-4ec4-8fcb-8ce74ff96d5a,4.44,Financial District,Boston University,12.0,UberPool,4.44,1.0,997acbb5-e102-41e1-b155-9df7de0a73f2,18-12-2018,18,12,2018,18122018
e96ee445-a95e-4b3d-9b06-3d436e82a099,2.42,Fenway,Beacon Hill,9.0,Lyft,2.42,1.0,lyft,29-11-2018,29,11,2018,29112018
4e302981-78cc-47da-b249-8903e7e0a145,2.66,Theatre District,Fenway,15.0,UberXL,2.66,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,18-12-2018,18,12,2018,18122018
66973b60-326a-4e23-a446-e6ef4245d7e4,2.95,Boston University,Theatre District,7.0,Shared,2.95,1.0,lyft_line,15-12-2018,15,12,2018,15122018
196f58da-27cf-434b-a00d-f56ff321a13d,2.11,Beacon Hill,North End,16.5,Lux,2.11,1.0,lyft_premier,28-11-2018,28,11,2018,28112018
01b7c670-fe34-4210-b20b-a40edb5e729a,3.22,Northeastern University,North Station,7.5,UberPool,3.22,1.0,997acbb5-e102-41e1-b155-9df7de0a73f2,27-11-2018,27,11,2018,27112018
76e59643-3333-4d82-a5ed-aed95a8320a6,2.17,North Station,South Station,8.5,WAV,2.17,1.0,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,15-12-2018,15,12,2018,15122018
4581c684-6ebe-418c-955a-c632e29e7b01,3.12,Northeastern University,West End,57.5,Lux Black XL,3.12,1.5,lyft_luxsuv,16-12-2018,16,12,2018,16122018
647e0bbc-c246-4243-9ca2-d766c961ff24,3.23,Northeastern University,North Station,9.0,UberPool,3.23,1.0,997acbb5-e102-41e1-b155-9df7de0a73f2,28-11-2018,28,11,2018,28112018
fa6fd0e9-bdc9-40b7-ac5b-14d495485428,1.01,Haymarket Square,Financial District,26.0,Lux Black XL,1.01,1.0,lyft_luxsuv,03-12-2018,03,12,2018,03122018
e6aea88c-b13c-46af-942c-068569974560,0.63,South Station,Financial District,7.0,UberX,0.63,1.0,55c66225-fbe7-4fd5-9072-eab1ece5e23e,28-11-2018,28,11,2018,28112018
55b78aaa-bd25-4828-9558-26343d454224,2.98,West End,Fenway,7.0,Shared,2.98,1.0,lyft_line,28-11-2018,28,11,2018,28112018
3db14b0b-e578-4611-8e03-c4989bf52aaf,2.82,Northeastern University,West End,10.5,Lyft,2.82,1.0,lyft,02-12-2018,02,12,2018,02122018
0911c11b-0be7-4c07-863c-2a1fa5ba0c74,1.08,Haymarket Square,Financial District,9.0,Lyft XL,1.08,1.0,lyft_plus,13-12-2018,13,12,2018,13122018
93a86a56-d976-49b7-9ca9-e15c19608005,1.82,Haymarket Square,Back Bay,16.0,UberXL,1.82,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,03-12-2018,03,12,2018,03122018
45b66121-ed90-4b52-b858-f3f09946bccf,1.02,Financial District,Haymarket Square,9.0,Lyft XL,1.02,1.0,lyft_plus,16-12-2018,16,12,2018,16122018
86fa048a-278d-4794-87bc-06f159d53630,2.98,Boston University,Theatre District,11.5,WAV,2.98,1.0,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,28-11-2018,28,11,2018,28112018
9ac496d2-3dbf-43ac-a124-0d69a89070d5,3.3,Financial District,Northeastern University,10.5,WAV,3.3,1.0,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,15-12-2018,15,12,2018,15122018
0bb3c1bc-0571-4011-aad3-6e2cfb93d005,1.35,Beacon Hill,Haymarket Square,5.0,Shared,1.35,1.0,lyft_line,27-11-2018,27,11,2018,27112018
b4ebb313-dde8-42d3-86f2-1a84f2014ca6,2.61,Northeastern University,Beacon Hill,23.0,Black,2.61,1.0,6c84fd89-3f11-4782-9b50-97c468b19529,29-11-2018,29,11,2018,29112018
ccbfd4ab-f228-4237-90d9-94cd3d4fc7fd,2.72,Fenway,West End,16.0,UberXL,2.72,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,27-11-2018,27,11,2018,27112018
5f8bdc5d-0512-496d-8cc7-17f30d748922,1.84,South Station,North Station,8.5,UberX,1.84,1.0,55c66225-fbe7-4fd5-9072-eab1ece5e23e,28-11-2018,28,11,2018,28112018
88a23150-e12b-4009-9b00-cf2b77cec000,4.21,Northeastern University,Financial District,47.5,Lux Black XL,4.21,1.25,lyft_luxsuv,26-11-2018,26,11,2018,26112018
257d1488-43c9-46d1-8dbd-349ae25da701,2.12,North Station,South Station,9.0,UberPool,2.12,1.0,997acbb5-e102-41e1-b155-9df7de0a73f2,27-11-2018,27,11,2018,27112018
fd40cf20-a63d-479e-a437-17c26d5bfcef,3.21,Back Bay,Haymarket Square,17.0,UberXL,3.21,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,13-12-2018,13,12,2018,13122018
b8de243a-a5b6-4063-9202-0817e2e95d81,5.41,Financial District,Boston University,22.5,Lyft XL,5.41,1.0,lyft_plus,27-11-2018,27,11,2018,27112018
f90af482-7232-4000-960e-cb04df850a64,3.08,West End,Northeastern University,26.0,Black,3.08,1.0,6c84fd89-3f11-4782-9b50-97c468b19529,03-12-2018,03,12,2018,03122018
b8046cc5-7cf8-46f9-bbbd-2aebebbcb1df,1.38,Haymarket Square,Beacon Hill,16.5,Lux Black,1.38,1.0,lyft_lux,16-12-2018,16,12,2018,16122018
ecdf89d3-272f-40c7-a7b7-d13067cc247d,1.65,South Station,West End,16.5,Lux,1.65,1.0,lyft_premier,16-12-2018,16,12,2018,16122018
b0e2a94f-f8cb-4cf2-9788-ecfbd7f87df3,1.43,Fenway,Back Bay,5.0,Shared,1.43,1.0,lyft_line,17-12-2018,17,12,2018,17122018
519ac311-1fe4-4710-b7cb-f513db73cdfe,2.83,Fenway,West End,16.5,Lyft XL,2.83,1.0,lyft_plus,29-11-2018,29,11,2018,29112018
be6647b0-1281-42e5-a700-700ca39f6ca6,2.88,West End,Boston University,10.5,Lyft,2.88,1.0,lyft,16-12-2018,16,12,2018,16122018
9486b830-fe95-4fd5-bdea-76bf33efc971,1.78,North Station,South Station,26.0,Lux Black XL,1.78,1.0,lyft_luxsuv,13-12-2018,13,12,2018,13122018
9f51451c-0321-4b33-aea2-139cfd03f872,1.73,South Station,North Station,16.5,Lux,1.73,1.0,lyft_premier,30-11-2018,30,11,2018,30112018
370b4433-ac5c-42de-824f-b81b46a851ba,4.23,Fenway,Financial District,13.5,Lyft,4.23,1.0,lyft,15-12-2018,15,12,2018,15122018
2e5f7e41-29a9-4b9f-96fb-19129306c61e,2.84,West End,Fenway,22.5,Black,2.84,1.0,6c84fd89-3f11-4782-9b50-97c468b19529,28-11-2018,28,11,2018,28112018
4c429217-8bd7-4647-9f6a-c78a8fe561d2,1.19,South Station,Theatre District,16.5,Lux Black,1.19,1.0,lyft_lux,17-12-2018,17,12,2018,17122018
ec47c711-3416-4c2c-9024-9a66017e35bb,1.35,Beacon Hill,Haymarket Square,5.0,Shared,1.35,1.0,lyft_line,14-12-2018,14,12,2018,14122018
da392478-7c51-4074-9a9d-c71fc7adc350,1.3,South Station,Theatre District,12.0,UberXL,1.3,1.0,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,16-12-2018,16,12,2018,16122018
5c825e5f-1fdf-4707-8044-890ac2383fc7,3.54,Boston University,North Station,11.0,Lyft,3.54,1.0,lyft,27-11-2018,27,11,2018,27112018
055b7362-3856-41c2-b7b2-0e496030a911,3.3,Financial District,Northeastern University,11.0,WAV,3.3,1.0,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,14-12-2018,14,12,2018,14122018
52a0ef61-a637-4b28-ba8c-bbf5d5b075a3,2.0,South Station,North Station,7.0,Shared,2.0,1.0,lyft_line,30-11-2018,30,11,2018,30112018
1a9b70ae-0a59-4652-9ce8-803086f15fd7,1.09,South Station,Theatre District,13.5,Lux,1.09,1.0,lyft_premier,26-11-2018,26,11,2018,26112018
a03e21d8-3e5e-4887-935b-17e91260e170,3.16,Fenway,West End,19.5,Lyft XL,3.16,1.0,lyft_plus,17-12-2018,17,12,2018,17122018
